date,description,category,amount,type
06-06-2023,Investments Purchase,Investments,-4272.27,Need
28-05-2023,Bills Purchase,Bills,-1226.26,Need
08-08-2023,Food Purchase,Food,-3306.56,Need
18-08-2023,Shopping Purchase,Shopping,-12888.96,Want
25-07-2023,Bills Purchase,Bills,-1899.11,Need
25-08-2023,Monthly Salary,Income,108932.0,Fixed
24-08-2023,Health Purchase,Health,-897.05,Need
10-09-2023,Food Purchase,Food,-10426.82,Need
07-11-2023,Health Purchase,Health,-2052.99,Need
11-06-2023,Investments Purchase,Investments,-3857.99,Need
07-06-2023,Health Purchase,Health,-4256.89,Need
19-06-2023,Food Purchase,Food,-6204.82,Need
19-02-2023,Bills Purchase,Bills,-2999.89,Need
15-04-2023,Food Purchase,Food,-10029.86,Need
03-01-2023,Bills Purchase,Bills,-8222.63,Need
17-09-2023,Health Purchase,Health,-14972.0,Need
18-03-2023,Health Purchase,Health,-12494.14,Need
14-01-2023,Investments Purchase,Investments,-4347.71,Need
03-02-2023,Bills Purchase,Bills,-5779.52,Need
31-05-2023,Investments Purchase,Investments,-13238.13,Need
17-11-2023,Bills Purchase,Bills,-4688.99,Need
19-05-2023,Shopping Purchase,Shopping,-1753.95,Want
26-07-2023,Food Purchase,Food,-5366.79,Need
01-01-2023,Investments Purchase,Investments,-8594.72,Need
23-02-2023,Subscriptions Purchase,Subscriptions,-2511.46,Need
10-08-2023,Investments Purchase,Investments,-1453.55,Need
05-04-2023,Investments Purchase,Investments,-6051.66,Need
19-08-2023,Food Purchase,Food,-13967.28,Need
12-08-2023,Bills Purchase,Bills,-7500.0,Need
02-03-2023,Shopping Purchase,Shopping,-8962.28,Want
21-03-2023,Investments Purchase,Investments,-13801.6,Need
28-03-2023,Travel Purchase,Travel,-6937.88,Need
18-07-2023,Bills Purchase,Bills,-9150.99,Need
08-06-2023,Bills Purchase,Bills,-14746.0,Need
24-10-2023,Bills Purchase,Bills,-6667.6,Need
08-06-2023,Monthly Salary,Income,109048.0,Fixed
17-06-2023,Food Purchase,Food,-2290.69,Need
20-11-2023,Bills Purchase,Bills,-11938.89,Need
08-08-2023,Investments Purchase,Investments,-12625.95,Need
10-12-2023,Bills Purchase,Bills,-7522.6,Need
14-05-2023,Bills Purchase,Bills,-1583.06,Need
21-07-2023,Bills Purchase,Bills,-6282.13,Need
03-02-2023,Health Purchase,Health,-10532.29,Need
26-04-2023,Food Purchase,Food,-10097.77,Need
23-05-2023,Shopping Purchase,Shopping,-2251.6,Want
11-05-2023,Travel Purchase,Travel,-1380.73,Need
09-12-2023,Bills Purchase,Bills,-9725.82,Need
20-12-2023,Social Purchase,Social,-6978.92,Want
28-10-2023,Food Purchase,Food,-3130.43,Need
19-02-2023,Bills Purchase,Bills,-6191.54,Need
28-03-2023,Travel Purchase,Travel,-13221.19,Need
24-08-2023,Investments Purchase,Investments,-14775.73,Need
28-06-2023,Shopping Purchase,Shopping,-893.75,Want
04-06-2023,Health Purchase,Health,-10583.95,Need
30-01-2023,Bills Purchase,Bills,-11988.4,Need
10-10-2023,Food Purchase,Food,-12729.04,Need
15-11-2023,Health Purchase,Health,-9159.24,Need
06-01-2023,Shopping Purchase,Shopping,-2722.9,Want
04-06-2023,Health Purchase,Health,-11597.1,Need
06-02-2023,Bills Purchase,Bills,-10530.22,Need
12-07-2023,Travel Purchase,Travel,-14235.34,Need
16-12-2023,Investments Purchase,Investments,-13846.84,Need
06-09-2023,Travel Purchase,Travel,-7827.02,Need
08-01-2023,Bills Purchase,Bills,-2739.87,Need
05-06-2023,Travel Purchase,Travel,-887.84,Need
13-10-2023,Monthly Salary,Income,114375.0,Fixed
30-03-2023,Investments Purchase,Investments,-6222.5,Need
07-04-2023,Bills Purchase,Bills,-4750.08,Need
28-09-2023,Investments Purchase,Investments,-8796.27,Need
18-02-2023,Health Purchase,Health,-6325.86,Need
03-01-2023,Bills Purchase,Bills,-3803.76,Need
13-12-2023,Health Purchase,Health,-6206.73,Need
09-11-2023,Investments Purchase,Investments,-7860.63,Need
03-08-2023,Bills Purchase,Bills,-12076.15,Need
07-06-2023,Health Purchase,Health,-12596.82,Need
28-02-2023,Food Purchase,Food,-997.29,Need
12-06-2023,Bills Purchase,Bills,-13661.01,Need
16-04-2023,Health Purchase,Health,-3251.97,Need
21-04-2023,Bills Purchase,Bills,-9908.16,Need
04-04-2023,Investments Purchase,Investments,-14235.64,Need
30-12-2023,Shopping Purchase,Shopping,-7537.04,Want
05-05-2023,Food Purchase,Food,-5793.71,Need
02-08-2023,Travel Purchase,Travel,-3948.1,Need
19-03-2023,Shopping Purchase,Shopping,-12642.3,Want
10-03-2023,Travel Purchase,Travel,-10492.94,Need
08-09-2023,Food Purchase,Food,-11117.93,Need
11-05-2023,Bills Purchase,Bills,-3997.73,Need
15-05-2023,Shopping Purchase,Shopping,-11579.26,Want
09-10-2023,Subscriptions Purchase,Subscriptions,-13178.76,Need
03-05-2023,Investments Purchase,Investments,-11244.23,Need
12-02-2023,Investments Purchase,Investments,-3398.27,Need
26-08-2023,Bills Purchase,Bills,-3818.13,Need
02-10-2023,Subscriptions Purchase,Subscriptions,-14140.48,Need
05-02-2023,Subscriptions Purchase,Subscriptions,-3485.91,Need
10-07-2023,Investments Purchase,Investments,-2126.2,Need
29-03-2023,Monthly Salary,Income,91536.0,Fixed
15-06-2023,Bills Purchase,Bills,-6981.63,Need
25-06-2023,Health Purchase,Health,-10437.99,Need
08-05-2023,Investments Purchase,Investments,-6053.14,Need
21-05-2023,Subscriptions Purchase,Subscriptions,-1503.83,Need
07-02-2023,Bills Purchase,Bills,-10211.5,Need
14-03-2023,Health Purchase,Health,-5119.3,Need
26-11-2023,Health Purchase,Health,-13944.06,Need
01-02-2023,Health Purchase,Health,-2731.05,Need
05-05-2023,Health Purchase,Health,-1100.68,Need
03-09-2023,Food Purchase,Food,-10108.24,Need
26-03-2023,Investments Purchase,Investments,-12230.85,Need
20-10-2023,Bills Purchase,Bills,-10634.66,Need
05-12-2023,Food Purchase,Food,-11592.43,Need
28-01-2023,Subscriptions Purchase,Subscriptions,-3589.11,Need
16-08-2023,Subscriptions Purchase,Subscriptions,-13105.61,Need
22-10-2023,Subscriptions Purchase,Subscriptions,-9005.41,Need
30-11-2023,Health Purchase,Health,-9797.53,Need
17-07-2023,Subscriptions Purchase,Subscriptions,-864.76,Need
11-07-2023,Travel Purchase,Travel,-11533.21,Need
24-08-2023,Health Purchase,Health,-6600.57,Need
08-01-2023,Bills Purchase,Bills,-4996.88,Need
10-07-2023,Food Purchase,Food,-6300.21,Need
11-03-2023,Shopping Purchase,Shopping,-6502.5,Want
04-09-2023,Bills Purchase,Bills,-6810.71,Need
13-08-2023,Subscriptions Purchase,Subscriptions,-8305.96,Need
27-06-2023,Investments Purchase,Investments,-3198.0,Need
19-01-2023,Bills Purchase,Bills,-13842.93,Need
18-10-2023,Health Purchase,Health,-12954.27,Need
03-05-2023,Investments Purchase,Investments,-12081.53,Need
07-02-2023,Monthly Salary,Income,93045.0,Fixed
16-05-2023,Bills Purchase,Bills,-12668.65,Need
16-03-2023,Social Purchase,Social,-4392.17,Want
16-11-2023,Health Purchase,Health,-2201.71,Need
25-10-2023,Food Purchase,Food,-11677.92,Need
19-04-2023,Investments Purchase,Investments,-644.97,Need
09-03-2023,Food Purchase,Food,-14270.63,Need
26-01-2023,Shopping Purchase,Shopping,-7613.54,Want
26-02-2023,Health Purchase,Health,-7473.82,Need
22-09-2023,Bills Purchase,Bills,-10461.77,Need
24-05-2023,Food Purchase,Food,-8436.66,Need
27-01-2023,Bills Purchase,Bills,-5057.98,Need
12-10-2023,Social Purchase,Social,-13404.16,Want
22-04-2023,Health Purchase,Health,-2997.91,Need
30-10-2023,Bills Purchase,Bills,-7033.41,Need
22-10-2023,Shopping Purchase,Shopping,-950.91,Want
14-09-2023,Travel Purchase,Travel,-12126.99,Need
27-09-2023,Social Purchase,Social,-1703.93,Want
19-12-2023,Bills Purchase,Bills,-4040.44,Need
04-08-2023,Bills Purchase,Bills,-2176.44,Need
18-07-2023,Bills Purchase,Bills,-1717.73,Need
18-02-2023,Subscriptions Purchase,Subscriptions,-7209.78,Need
06-09-2023,Social Purchase,Social,-12310.62,Want
24-04-2023,Subscriptions Purchase,Subscriptions,-3225.23,Need
07-10-2023,Shopping Purchase,Shopping,-4787.18,Want
26-04-2023,Social Purchase,Social,-14443.06,Want
22-11-2023,Investments Purchase,Investments,-14783.71,Need
14-11-2023,Investments Purchase,Investments,-10100.42,Need
14-01-2023,Food Purchase,Food,-9793.65,Need
18-10-2023,Subscriptions Purchase,Subscriptions,-8585.57,Need
11-04-2023,Monthly Salary,Income,92629.0,Fixed
01-08-2023,Investments Purchase,Investments,-10845.51,Need
07-04-2023,Bills Purchase,Bills,-7972.95,Need
09-07-2023,Bills Purchase,Bills,-12468.01,Need
02-04-2023,Travel Purchase,Travel,-5931.71,Need
02-10-2023,Investments Purchase,Investments,-4848.14,Need
24-10-2023,Food Purchase,Food,-13410.23,Need
22-03-2023,Health Purchase,Health,-9947.93,Need
31-10-2023,Food Purchase,Food,-5498.38,Need
15-10-2023,Shopping Purchase,Shopping,-9230.87,Want
21-02-2023,Food Purchase,Food,-6254.06,Need
01-09-2023,Health Purchase,Health,-12188.11,Need
27-05-2023,Investments Purchase,Investments,-4253.37,Need
13-08-2023,Investments Purchase,Investments,-10313.57,Need
11-05-2023,Food Purchase,Food,-13283.62,Need
25-04-2023,Health Purchase,Health,-9345.42,Need
09-08-2023,Bills Purchase,Bills,-4448.48,Need
14-08-2023,Bills Purchase,Bills,-2332.09,Need
29-04-2023,Investments Purchase,Investments,-3878.58,Need
06-09-2023,Investments Purchase,Investments,-4191.74,Need
27-07-2023,Shopping Purchase,Shopping,-14363.16,Want
12-05-2023,Shopping Purchase,Shopping,-10828.96,Want
12-03-2023,Bills Purchase,Bills,-2606.93,Need
02-10-2023,Investments Purchase,Investments,-7277.72,Need
25-09-2023,Food Purchase,Food,-7035.74,Need
01-03-2023,Subscriptions Purchase,Subscriptions,-8579.59,Need
01-06-2023,Bills Purchase,Bills,-1384.42,Need
04-11-2023,Social Purchase,Social,-13817.37,Want
28-11-2023,Travel Purchase,Travel,-8506.53,Need
13-08-2023,Investments Purchase,Investments,-9610.24,Need
07-09-2023,Monthly Salary,Income,77790.0,Fixed
17-10-2023,Bills Purchase,Bills,-1513.19,Need
11-10-2023,Travel Purchase,Travel,-5236.86,Need
10-05-2023,Shopping Purchase,Shopping,-3950.8,Want
30-11-2023,Social Purchase,Social,-10901.27,Want
30-07-2023,Health Purchase,Health,-8881.41,Need
27-06-2023,Social Purchase,Social,-6923.88,Want
20-10-2023,Shopping Purchase,Shopping,-3210.61,Want
05-03-2023,Bills Purchase,Bills,-11861.64,Need
27-07-2023,Health Purchase,Health,-2435.56,Need
06-08-2023,Health Purchase,Health,-1381.74,Need
11-06-2023,Bills Purchase,Bills,-4775.63,Need
27-09-2023,Investments Purchase,Investments,-5855.51,Need
02-03-2023,Investments Purchase,Investments,-3150.93,Need
04-04-2023,Bills Purchase,Bills,-6337.61,Need
14-02-2023,Bills Purchase,Bills,-14040.16,Need
11-09-2023,Bills Purchase,Bills,-7267.6,Need
15-05-2023,Investments Purchase,Investments,-13002.75,Need
28-12-2023,Shopping Purchase,Shopping,-8215.01,Want
27-10-2023,Social Purchase,Social,-6805.52,Want
06-08-2023,Health Purchase,Health,-2616.78,Need
29-09-2023,Food Purchase,Food,-2138.78,Need
19-09-2023,Food Purchase,Food,-5620.8,Need
31-08-2023,Social Purchase,Social,-10932.39,Want
29-03-2023,Health Purchase,Health,-13374.37,Need
28-09-2023,Investments Purchase,Investments,-13694.85,Need
19-01-2023,Shopping Purchase,Shopping,-4106.53,Want
25-07-2023,Travel Purchase,Travel,-13763.1,Need
18-11-2023,Food Purchase,Food,-2828.75,Need
22-02-2023,Shopping Purchase,Shopping,-7156.41,Want
19-12-2023,Monthly Salary,Income,105810.0,Fixed
13-05-2023,Shopping Purchase,Shopping,-1017.83,Want
17-04-2023,Investments Purchase,Investments,-11981.91,Need
22-03-2023,Bills Purchase,Bills,-9119.76,Need
07-03-2023,Health Purchase,Health,-9730.81,Need
14-11-2023,Health Purchase,Health,-7513.02,Need
17-05-2023,Health Purchase,Health,-14510.01,Need
01-12-2023,Investments Purchase,Investments,-13363.76,Need
20-10-2023,Bills Purchase,Bills,-11972.71,Need
18-10-2023,Investments Purchase,Investments,-13688.74,Need
08-12-2023,Investments Purchase,Investments,-8255.9,Need
24-02-2023,Food Purchase,Food,-3934.34,Need
31-05-2023,Travel Purchase,Travel,-8419.37,Need
31-05-2023,Food Purchase,Food,-4004.77,Need
31-07-2023,Bills Purchase,Bills,-10531.91,Need
15-01-2023,Food Purchase,Food,-1184.09,Need
05-01-2023,Subscriptions Purchase,Subscriptions,-12502.39,Need
20-08-2023,Subscriptions Purchase,Subscriptions,-6463.86,Need
08-11-2023,Investments Purchase,Investments,-14740.45,Need
02-02-2023,Bills Purchase,Bills,-1420.53,Need
02-11-2023,Subscriptions Purchase,Subscriptions,-8326.72,Need
20-05-2023,Shopping Purchase,Shopping,-11728.45,Want
20-06-2023,Investments Purchase,Investments,-4194.49,Need
10-11-2023,Investments Purchase,Investments,-5028.08,Need
21-01-2023,Bills Purchase,Bills,-13552.88,Need
26-05-2023,Food Purchase,Food,-8809.0,Need
15-02-2023,Travel Purchase,Travel,-9576.5,Need
06-10-2023,Food Purchase,Food,-3450.29,Need
05-01-2023,Investments Purchase,Investments,-10541.42,Need
06-02-2023,Social Purchase,Social,-3734.86,Want
03-08-2023,Monthly Salary,Income,104843.0,Fixed
18-02-2023,Food Purchase,Food,-5270.41,Need
03-07-2023,Health Purchase,Health,-2190.12,Need
04-12-2023,Bills Purchase,Bills,-643.82,Need
16-02-2023,Subscriptions Purchase,Subscriptions,-1589.6,Need
07-11-2023,Food Purchase,Food,-9690.69,Need
26-12-2023,Travel Purchase,Travel,-8217.56,Need
27-05-2023,Investments Purchase,Investments,-8173.06,Need
05-11-2023,Health Purchase,Health,-10178.93,Need
22-01-2023,Shopping Purchase,Shopping,-4808.93,Want
06-02-2023,Food Purchase,Food,-2540.01,Need
18-12-2023,Bills Purchase,Bills,-11416.66,Need
30-07-2023,Bills Purchase,Bills,-8424.46,Need
30-05-2023,Investments Purchase,Investments,-10673.89,Need
22-02-2023,Food Purchase,Food,-9979.48,Need
19-02-2023,Food Purchase,Food,-10658.0,Need
17-07-2023,Food Purchase,Food,-14321.44,Need
07-04-2023,Investments Purchase,Investments,-3395.48,Need
19-09-2023,Social Purchase,Social,-10287.34,Want
02-06-2023,Travel Purchase,Travel,-11955.06,Need
09-08-2023,Bills Purchase,Bills,-9547.2,Need
12-03-2023,Travel Purchase,Travel,-8563.72,Need
06-12-2023,Shopping Purchase,Shopping,-1229.45,Want
26-11-2023,Health Purchase,Health,-6518.59,Need
19-02-2023,Bills Purchase,Bills,-5321.02,Need
25-04-2023,Subscriptions Purchase,Subscriptions,-13508.76,Need
23-04-2023,Bills Purchase,Bills,-7164.37,Need
17-02-2023,Investments Purchase,Investments,-1048.34,Need
05-04-2023,Food Purchase,Food,-8603.44,Need
13-08-2023,Shopping Purchase,Shopping,-1547.5,Want
07-07-2023,Monthly Salary,Income,107603.0,Fixed
06-01-2023,Social Purchase,Social,-10024.89,Want
10-11-2023,Food Purchase,Food,-3026.08,Need
29-04-2023,Bills Purchase,Bills,-11824.87,Need
06-07-2023,Food Purchase,Food,-9363.96,Need
04-02-2023,Social Purchase,Social,-13675.44,Want
01-08-2023,Health Purchase,Health,-12250.7,Need
14-04-2023,Shopping Purchase,Shopping,-10384.07,Want
21-08-2023,Bills Purchase,Bills,-7385.53,Need
23-12-2023,Subscriptions Purchase,Subscriptions,-10448.61,Need
16-12-2023,Bills Purchase,Bills,-4817.18,Need
31-03-2023,Food Purchase,Food,-5551.06,Need
24-04-2023,Social Purchase,Social,-4255.28,Want
22-07-2023,Food Purchase,Food,-3061.95,Need
05-07-2023,Food Purchase,Food,-3579.84,Need
04-03-2023,Food Purchase,Food,-1215.25,Need
26-08-2023,Food Purchase,Food,-10252.49,Need
14-08-2023,Travel Purchase,Travel,-605.15,Need
13-01-2023,Bills Purchase,Bills,-11335.54,Need
06-11-2023,Bills Purchase,Bills,-10138.09,Need
23-10-2023,Social Purchase,Social,-13919.27,Want
26-05-2023,Food Purchase,Food,-2584.35,Need
31-03-2023,Food Purchase,Food,-8079.28,Need
15-08-2023,Travel Purchase,Travel,-2661.52,Need
20-08-2023,Health Purchase,Health,-3922.71,Need
22-01-2023,Food Purchase,Food,-3138.48,Need
04-12-2023,Bills Purchase,Bills,-14685.51,Need
03-12-2023,Food Purchase,Food,-12749.59,Need
02-08-2023,Travel Purchase,Travel,-5218.28,Need
23-03-2023,Shopping Purchase,Shopping,-13273.6,Want
20-08-2023,Monthly Salary,Income,78679.0,Fixed
06-09-2023,Food Purchase,Food,-1718.78,Need
17-06-2023,Investments Purchase,Investments,-6157.85,Need
20-04-2023,Bills Purchase,Bills,-12520.93,Need
07-03-2023,Health Purchase,Health,-9669.94,Need
02-10-2023,Food Purchase,Food,-14910.03,Need
12-08-2023,Investments Purchase,Investments,-3319.97,Need
30-01-2023,Food Purchase,Food,-3294.41,Need
08-10-2023,Bills Purchase,Bills,-13350.13,Need
02-02-2023,Bills Purchase,Bills,-14009.59,Need
16-09-2023,Investments Purchase,Investments,-700.13,Need
22-12-2023,Investments Purchase,Investments,-12997.39,Need
20-06-2023,Bills Purchase,Bills,-1704.53,Need
02-06-2023,Social Purchase,Social,-6554.09,Want
31-10-2023,Shopping Purchase,Shopping,-5049.96,Want
15-12-2023,Shopping Purchase,Shopping,-837.98,Want
21-11-2023,Travel Purchase,Travel,-8030.36,Need
18-08-2023,Health Purchase,Health,-10890.48,Need
31-05-2023,Health Purchase,Health,-12813.87,Need
10-01-2023,Food Purchase,Food,-8135.79,Need
06-03-2023,Shopping Purchase,Shopping,-11135.95,Want
11-11-2023,Shopping Purchase,Shopping,-8758.92,Want
02-02-2023,Bills Purchase,Bills,-12964.8,Need
17-07-2023,Bills Purchase,Bills,-11878.11,Need
06-10-2023,Food Purchase,Food,-6819.46,Need
05-01-2023,Food Purchase,Food,-5018.68,Need
30-11-2023,Investments Purchase,Investments,-14066.26,Need
03-08-2023,Shopping Purchase,Shopping,-756.86,Want
27-07-2023,Health Purchase,Health,-3620.99,Need
10-02-2023,Travel Purchase,Travel,-5199.96,Need
14-06-2023,Monthly Salary,Income,79943.0,Fixed
02-03-2023,Bills Purchase,Bills,-12627.33,Need
14-09-2023,Travel Purchase,Travel,-9884.23,Need
23-12-2023,Shopping Purchase,Shopping,-4358.95,Want
07-04-2023,Subscriptions Purchase,Subscriptions,-8525.44,Need
29-03-2023,Investments Purchase,Investments,-8026.99,Need
03-04-2023,Social Purchase,Social,-10417.75,Want
19-09-2023,Food Purchase,Food,-14100.43,Need
07-11-2023,Investments Purchase,Investments,-13563.17,Need
18-06-2023,Shopping Purchase,Shopping,-543.9,Want
03-09-2023,Shopping Purchase,Shopping,-7127.59,Want
27-02-2023,Bills Purchase,Bills,-10535.93,Need
31-01-2023,Bills Purchase,Bills,-7679.15,Need
29-12-2023,Health Purchase,Health,-11263.95,Need
03-06-2023,Bills Purchase,Bills,-8830.5,Need
04-03-2023,Shopping Purchase,Shopping,-3805.15,Want
23-03-2023,Shopping Purchase,Shopping,-5609.7,Want
23-06-2023,Investments Purchase,Investments,-8238.82,Need
20-11-2023,Subscriptions Purchase,Subscriptions,-5740.22,Need
04-09-2023,Subscriptions Purchase,Subscriptions,-11879.83,Need
12-06-2023,Shopping Purchase,Shopping,-803.63,Want
17-08-2023,Investments Purchase,Investments,-6284.87,Need
22-12-2023,Health Purchase,Health,-2989.67,Need
03-02-2023,Travel Purchase,Travel,-6082.28,Need
29-10-2023,Investments Purchase,Investments,-11288.6,Need
02-11-2023,Investments Purchase,Investments,-5124.11,Need
30-05-2023,Travel Purchase,Travel,-8953.06,Need
21-05-2023,Health Purchase,Health,-5848.67,Need
10-01-2023,Bills Purchase,Bills,-4104.97,Need
30-01-2023,Food Purchase,Food,-6426.4,Need
07-09-2023,Monthly Salary,Income,98386.0,Fixed
12-07-2023,Investments Purchase,Investments,-5914.03,Need
16-09-2023,Shopping Purchase,Shopping,-7426.44,Want
21-03-2023,Travel Purchase,Travel,-13735.76,Need
01-01-2023,Food Purchase,Food,-11772.1,Need
28-07-2023,Bills Purchase,Bills,-9208.62,Need
27-02-2023,Shopping Purchase,Shopping,-3426.01,Want
03-10-2023,Travel Purchase,Travel,-8790.61,Need
07-12-2023,Health Purchase,Health,-6633.19,Need
27-01-2023,Shopping Purchase,Shopping,-13666.85,Want
09-12-2023,Health Purchase,Health,-11102.95,Need
03-11-2023,Health Purchase,Health,-10548.2,Need
13-08-2023,Shopping Purchase,Shopping,-6620.92,Want
04-11-2023,Health Purchase,Health,-6651.29,Need
16-02-2023,Shopping Purchase,Shopping,-8184.88,Want
16-12-2023,Bills Purchase,Bills,-14837.76,Need
21-03-2023,Food Purchase,Food,-5977.93,Need
19-05-2023,Shopping Purchase,Shopping,-14190.55,Want
25-02-2023,Travel Purchase,Travel,-5413.81,Need
07-10-2023,Bills Purchase,Bills,-10567.25,Need
24-03-2023,Travel Purchase,Travel,-6423.48,Need
25-07-2023,Food Purchase,Food,-13920.6,Need
17-10-2023,Bills Purchase,Bills,-6427.36,Need
01-03-2023,Bills Purchase,Bills,-14240.41,Need
03-11-2023,Food Purchase,Food,-7665.64,Need
29-05-2023,Food Purchase,Food,-12042.12,Need
25-08-2023,Investments Purchase,Investments,-6883.22,Need
17-04-2023,Investments Purchase,Investments,-14827.83,Need
15-07-2023,Food Purchase,Food,-6923.28,Need
19-11-2023,Health Purchase,Health,-5321.17,Need
09-12-2023,Monthly Salary,Income,102453.0,Fixed
21-12-2023,Shopping Purchase,Shopping,-7892.86,Want
15-04-2023,Bills Purchase,Bills,-2775.58,Need
25-02-2023,Health Purchase,Health,-529.52,Need
06-11-2023,Investments Purchase,Investments,-2687.92,Need
04-03-2023,Bills Purchase,Bills,-7923.57,Need
04-10-2023,Travel Purchase,Travel,-14437.0,Need
22-11-2023,Bills Purchase,Bills,-8034.09,Need
12-12-2023,Shopping Purchase,Shopping,-4451.74,Want
18-02-2023,Investments Purchase,Investments,-12320.95,Need
05-01-2023,Shopping Purchase,Shopping,-10238.81,Want
22-03-2023,Investments Purchase,Investments,-14403.97,Need
03-06-2023,Bills Purchase,Bills,-626.69,Need
28-08-2023,Shopping Purchase,Shopping,-13560.84,Want
24-05-2023,Travel Purchase,Travel,-4802.61,Need
16-08-2023,Health Purchase,Health,-8244.52,Need
09-01-2023,Investments Purchase,Investments,-2970.57,Need
20-01-2023,Travel Purchase,Travel,-11923.64,Need
18-10-2023,Bills Purchase,Bills,-3370.68,Need
29-05-2023,Travel Purchase,Travel,-3246.11,Need
06-06-2023,Shopping Purchase,Shopping,-2307.02,Want
09-03-2023,Bills Purchase,Bills,-10875.27,Need
17-09-2023,Investments Purchase,Investments,-12322.22,Need
28-03-2023,Food Purchase,Food,-13745.71,Need
05-09-2023,Investments Purchase,Investments,-2035.02,Need
26-09-2023,Health Purchase,Health,-5632.21,Need
29-03-2023,Food Purchase,Food,-5957.59,Need
19-10-2023,Health Purchase,Health,-5302.14,Need
07-10-2023,Subscriptions Purchase,Subscriptions,-10950.77,Need
13-12-2023,Bills Purchase,Bills,-9820.88,Need
07-07-2023,Monthly Salary,Income,93211.0,Fixed
29-10-2023,Bills Purchase,Bills,-1346.72,Need
20-09-2023,Bills Purchase,Bills,-1109.62,Need
30-03-2023,Bills Purchase,Bills,-957.29,Need
30-07-2023,Subscriptions Purchase,Subscriptions,-12279.24,Need
13-08-2023,Bills Purchase,Bills,-7904.34,Need
20-06-2023,Investments Purchase,Investments,-10161.92,Need
22-11-2023,Travel Purchase,Travel,-11047.62,Need
13-08-2023,Investments Purchase,Investments,-5835.88,Need
02-08-2023,Shopping Purchase,Shopping,-9874.3,Want
16-08-2023,Bills Purchase,Bills,-9275.01,Need
18-01-2023,Travel Purchase,Travel,-6859.5,Need
14-03-2023,Health Purchase,Health,-10749.89,Need
10-07-2023,Food Purchase,Food,-1522.15,Need
27-12-2023,Health Purchase,Health,-957.59,Need
14-09-2023,Travel Purchase,Travel,-13453.16,Need
06-07-2023,Investments Purchase,Investments,-6908.57,Need
20-04-2023,Health Purchase,Health,-8829.21,Need
14-05-2023,Health Purchase,Health,-12575.21,Need
23-04-2023,Investments Purchase,Investments,-9607.63,Need
27-04-2023,Investments Purchase,Investments,-12035.8,Need
19-02-2023,Bills Purchase,Bills,-7279.29,Need
28-06-2023,Bills Purchase,Bills,-13178.04,Need
02-12-2023,Health Purchase,Health,-7464.56,Need
27-12-2023,Investments Purchase,Investments,-10915.28,Need
22-04-2023,Investments Purchase,Investments,-1044.11,Need
13-04-2023,Food Purchase,Food,-6774.39,Need
23-09-2023,Travel Purchase,Travel,-6731.5,Need
22-06-2023,Shopping Purchase,Shopping,-13216.16,Want
12-05-2023,Investments Purchase,Investments,-6244.37,Need
25-01-2023,Monthly Salary,Income,99265.0,Fixed
06-09-2023,Bills Purchase,Bills,-2455.52,Need
19-06-2023,Food Purchase,Food,-11859.07,Need
17-06-2023,Food Purchase,Food,-4081.28,Need
21-04-2023,Investments Purchase,Investments,-3610.09,Need
19-10-2023,Health Purchase,Health,-2651.41,Need
02-06-2023,Travel Purchase,Travel,-14968.56,Need
01-03-2023,Bills Purchase,Bills,-5829.96,Need
11-05-2023,Food Purchase,Food,-2273.19,Need
30-11-2023,Bills Purchase,Bills,-10234.88,Need
19-09-2023,Food Purchase,Food,-2221.64,Need
02-02-2023,Travel Purchase,Travel,-760.3,Need
23-12-2023,Health Purchase,Health,-7877.01,Need
03-05-2023,Bills Purchase,Bills,-1586.83,Need
24-09-2023,Investments Purchase,Investments,-11140.76,Need
25-02-2023,Food Purchase,Food,-4491.44,Need
20-04-2023,Health Purchase,Health,-9017.72,Need
28-09-2023,Food Purchase,Food,-14418.27,Need
03-11-2023,Subscriptions Purchase,Subscriptions,-619.11,Need
15-06-2023,Investments Purchase,Investments,-5766.5,Need
01-09-2023,Investments Purchase,Investments,-6377.19,Need
28-05-2023,Travel Purchase,Travel,-11878.86,Need
27-02-2023,Bills Purchase,Bills,-10063.76,Need
20-05-2023,Investments Purchase,Investments,-4564.41,Need
13-09-2023,Travel Purchase,Travel,-2037.77,Need
08-11-2023,Social Purchase,Social,-10692.46,Want
18-08-2023,Food Purchase,Food,-10424.34,Need
07-10-2023,Travel Purchase,Travel,-12450.98,Need
05-03-2023,Bills Purchase,Bills,-3990.88,Need
24-02-2023,Health Purchase,Health,-10824.75,Need
02-12-2023,Monthly Salary,Income,107789.0,Fixed
10-12-2023,Investments Purchase,Investments,-9506.34,Need
21-09-2023,Travel Purchase,Travel,-10939.19,Need
31-07-2023,Bills Purchase,Bills,-11179.82,Need
13-04-2023,Food Purchase,Food,-2609.09,Need
29-01-2023,Food Purchase,Food,-4300.79,Need
07-04-2023,Investments Purchase,Investments,-10192.12,Need
24-09-2023,Bills Purchase,Bills,-6276.99,Need
21-11-2023,Subscriptions Purchase,Subscriptions,-9434.87,Need
28-02-2023,Food Purchase,Food,-13075.18,Need
